1000000,Fri Mar 01 08:07:04 +0000 2019,"$spy $dia $iwm $qq $ibb $xbi

security checking of every crowd member ( including children ) attending pm modiji's &amp; rahul gandhi's rally. belt bomb terrorist will be wearing tricolor dress or jem / let flag color dress."
1000001,Fri Mar 01 16:15:05 +0000 2019,"  ??

report says moody was about to degrade india's rating but it changed its stance  after a video of rahul gandhi explaining how a machine could convert aloo to gold was shown.
report also says head of the agency after watching the video started dancing &amp; upgraded india's rating"
1000002,Sat Mar 02 03:15:30 +0000 2019, rahul gandhi had that opportunity during the no confidence motion. but he made a fool of himself
1000003,Sat Mar 02 10:19:26 +0000 2019,"  rahul gandhi addressing empty ground and chairs in bkc, mumbai. i like this ability to talk to himself endlessly.. "
1000004,Thu Feb 28 06:07:40 +0000 2019," then how the indian airforce attacked pakistans terror camp? is your boss rahul gandhi gave the order or sonia gandhi gave order (where they didnot do at 26/11)?

shameless"
1000005,Thu Feb 28 12:23:51 +0000 2019,"  thank you sir. that's what they were  doing this time too. mufti, abdullahs, saba naqvi, rahul gandhi, mamta, yechuri, etc either directly or indirectly. the shameless brother and sister even visited houses of martyrs to asertain their caste."
1000006,Wed Feb 27 16:01:12 +0000 2019,"pakfakeclaim
rahul gandhi n sunil chopra are obnoxious weeds that needs to be pulled out of india first, he us the one who is supporting pak 
shameless fellow"
1000007,Sun Mar 03 09:35:44 +0000 2019,"after the biharwithmodi rally at gandhi maidan in patna, who is your preferred pm candidate?
modi or rahul.
rt after vote so that it reaches maximum people"
1000008,Thu Feb 21 10:41:42 +0000 2019,rs prasad: rahul gandhi asks for an evidence of the surgical strikes but does not ask for any evidence when man of a questionable character in london in the presence of kapil sibal questions india's elections. what can we expect from them? 
1000009,Sat Mar 02 06:01:01 +0000 2019, definitely not rahul gandhi - harvard and lsm has confirmed in writing that he never ever was their student
1000010,Sun Mar 03 04:47:15 +0000 2019, rahul gandhi has not shame at all that he is copying a pakistani's tweet..
1000011,Thu Feb 28 13:56:16 +0000 2019,  add rahul gandhi to the list too
1000012,Thu Feb 28 04:09:22 +0000 2019,"people who are constantly writing post against congress and attacking rahul gandhi are either fools or are paid modi propagandist. there are 3 categories of propagandists 

1. hired directly by bjp sanwaad *it cell.. "
1000013,Sun Mar 03 07:04:19 +0000 2019,"pm modi to launch projects worth over rs 11,00 crore in rahul gandhi’s bastion amethi today  "
1000014,Mon Mar 04 10:44:55 +0000 2019,"  

is the prime minister saying that nobody other than him can end terrorism?

is he saying other indians don't care about terrorism?

does he mean no one ever cared about terrorism before him?

"
1000015,Sat Mar 02 17:11:01 +0000 2019,"

 - high time to stop phata kurta naatak!!

economic times: assets of sonia, rahul and maneka gandhi grew manifold in 10 years: report.


via "
1000016,Sat Mar 02 02:03:15 +0000 2019,"congratulations rahul gandhi &amp; opposition parties

your treacherous nature is now part of official records of paki parliament. 
gaddarlist "
1000017,Sun Mar 03 05:55:57 +0000 2019," how dare you say that 130 crore people of bharat are barbarians? this is the direct implication of your tweet! aren't you trying to say that india has been indulging in barbariism? 
why are you behaving like a shameless pakistani or like even much more shameless rahul gandhi? are "
1000018,Sun Mar 03 05:27:36 +0000 2019,  chor rahul gandhi can hide in the lap of sonia gandhi
1000019,Sun Mar 03 07:20:21 +0000 2019,  rahul gandhi is the next prime minister of india
1000020,Sat Mar 02 05:13:48 +0000 2019,"mr rahul gandhi ji, please save our annual festival from threat by youth congress post holder abhijeet pandey.
students of iet, davv, indore
"
